SNtype	mag_g	bar	Galtype2
CC   	12.63	     	S    
CC   	14.15	B    	S    
CC   	11.91	B    	S    
CC   	12.11	     	S    
CC   	12.68	     	S    
Ia   	11.81	     	S    
CC   	11.82	     	S    
Ia   	10.39	B    	S    
Ia   	15.75	     	S    
Ia   	15.42	     	S    
Ia   	14.55	     	E    
Ia   	13.54	B    	S    
Ia   	11.90	B    	S    
Ia   	13.02	     	S    
CC   	12.68	B    	S    
Ia   	10.92	     	S    
Ia   	12.90	B    	S    
CC   	12.37	B    	S    
CC   	10.76	     	S    
CC   	12.44	B    	S    
Ia   	10.58	     	S    
Ia   	14.23	     	S    
Ia   	12.12	     	S    
CC   	10.06	     	S    
Ia   	12.32	     	S    
Ia   	12.81	B    	S    
CC   	12.99	B    	S    
Ia   	11.68	     	E    
Ia   	14.01	     	S    
Ia   	10.98	B    	S    
Ia   	13.65	B    	S    
Ia   	12.93	B    	S0   
Ia   	 9.90	     	S    
Ia   	13.34	     	S    
CC   	13.57	B    	S    
CC   	14.88	B    	S    
Ia   	13.99	B    	S    
Ia   	15.54	     	S0   
Ia   	14.45	     	S0   
Ia   	12.89	B    	S    
CC   	12.84	     	S    
CC   	14.27	     	S    
Ia   	15.34	     	S    
CC   	12.00	     	S    
Ia   	13.02	     	S    
Ia   	10.84	     	S    
Ia   	11.82	B    	S    
Ia   	12.85	     	S    
CC   	14.45	     	S    
Ia   	11.66	     	E    
Ia   	11.72	     	S    
Ia   	13.98	B    	S    
Ia   	14.10	B    	S    
Ia   	11.68	     	S    
CC   	13.80	     	S    
Ia   	12.20	B    	S    
CC   	10.97	B    	S    
CC   	11.10	B    	S    
CC   	16.17	     	S    
CC   	14.25	B    	S    
CC   	13.83	     	S    
CC   	14.15	     	S    
Ia   	13.66	     	S0   
Ia   	12.47	     	S    
Ia   	14.69	B    	S    
Ia   	11.39	     	S    
Ia   	13.87	     	S    
Ia   	15.59	     	S    
Ia   	13.93	     	S    
Ia   	13.70	B    	S    
Ia   	13.83	     	S0   
Ia   	16.04	B    	S    
Ia   	15.89	     	S    
Ia   	14.73	     	S    
CC   	12.50	     	S    
Ia   	15.60	     	S    
CC   	16.77	     	S    
Ia   	14.77	     	S    
CC   	15.32	B    	S    
Ia   	15.19	     	S    
Ia   	16.35	     	S    
Ia   	12.83	B    	S    
CC   	15.76	B    	S    
CC   	14.22	B    	S    
CC   	12.36	B    	S    
Ia   	10.42	B    	S    
Ia   	17.49	     	S    
CC   	13.52	B    	S    
Ia   	17.53	     	S0   
CC   	13.93	     	S    
CC   	17.02	B    	S    
CC   	14.71	B    	S    
CC   	11.22	     	S    
Ia   	15.79	B    	S    
Ia   	14.76	     	S    
CC   	11.64	     	S    
Ia   	16.29	B    	S    
Ia   	14.23	B    	S0   
Ia   	11.72	B    	S    
CC   	15.13	     	S    
CC   	15.05	     	S    
CC   	15.44	     	S    
CC   	14.07	B    	S    
Ia   	14.68	B    	S    
Ia   	16.36	     	S    
Ia   	15.47	     	S    
Ia   	15.13	     	S0   
Ia   	15.21	B    	S    
Ia   	13.01	B    	S    
Ia   	15.70	     	S    
CC   	13.99	     	S    
Ia   	16.21	     	S    
Ia   	15.10	B    	S    
Ia   	15.97	     	S    
CC   	15.17	     	S    
Ia   	14.42	     	S    
Ia   	12.91	     	E    
CC   	16.69	     	S    
CC   	12.32	B    	S    
CC   	14.91	     	S    
Ia   	13.49	B    	S    
CC   	10.87	     	S    
CC   	16.27	     	S    
Ia   	15.09	     	S    
CC   	12.61	     	S    
Ia   	14.53	B    	S    
Ia   	17.80	     	S    
Ia   	17.02	     	S    
Ia   	15.53	     	S    
CC   	16.44	     	S    
CC   	11.80	B    	S    
Ia   	11.64	     	S    
CC   	11.88	B    	S    
CC   	12.80	     	S    
Ia   	15.32	B    	S    
Ia   	16.64	B    	S    
Ia   	16.89	     	S    
Ia   	13.56	B    	S    
Ia   	15.21	     	E/S0 
CC   	14.20	     	S    
Ia   	14.58	     	E    
Ia   	17.05	     	S0   
Ia   	12.93	     	E    
CC   	16.62	     	S    
Ia   	15.25	     	S    
CC   	15.94	B    	S    
CC   	14.11	B    	S    
CC   	15.69	     	S    
Ia   	16.75	B    	S    
Ia   	15.52	B    	S    
Ia   	17.57	     	S    
Ia   	17.09	     	S    
Ia   	15.01	B    	S    
Ia   	13.78	     	E    
CC   	14.91	     	S    
Ia   	14.67	     	S    
CC   	12.90	B    	S    
Ia   	15.92	     	S    
Ia   	13.80	     	S    
Ia   	15.35	     	S    
CC   	15.54	     	S    
Ia   	17.84	     	S    
CC   	13.38	B    	S    
CC   	17.13	     	S    
CC   	13.46	     	S    
Ia   	14.96	     	S    
Ia   	12.38	     	S    
Ia   	14.95	     	S0   
CC   	16.34	     	S    
CC   	16.71	     	S    
Ia   	12.50	B    	S0   
CC   	13.30	     	S    
CC   	13.63	     	S    
CC   	18.61	     	S    
Ia   	13.63	B    	S    
Ia   	16.07	     	S    
Ia   	15.32	     	S    
Ia   	17.16	     	S    
CC   	11.35	B    	S    
Ia   	12.09	     	E    
CC   	14.84	B    	S    
CC   	14.70	     	S    
Ia   	11.49	     	S0   
Ia   	16.36	B    	S    
Ia   	15.98	     	S0   
CC   	10.92	     	S    
CC   	11.81	B    	S    
Ia   	15.25	     	S    
CC   	13.14	     	S    
Ia   	20.11	     	S    
CC   	16.90	B    	S    
Ia   	12.05	     	S0   
Ia   	15.74	B    	S    
Ia   	14.99	     	S    
Ia   	12.90	     	S    
Ia   	13.96	     	E    
CC   	13.57	     	S    
Ia   	15.44	     	S    
CC   	14.27	     	S    
CC   	15.16	B    	S    
Ia   	15.20	     	S    
Ia   	13.06	B    	S    
Ia   	13.81	B    	S    
CC   	14.29	B    	S    
CC   	13.75	     	S    
CC   	16.65	     	Im   
Ia   	17.29	     	S    
CC   	13.18	     	S    
CC   	13.33	B    	S    
CC   	13.38	B    	S    
CC   	11.96	     	S    
Ia   	18.70	     	S    
CC   	14.12	B    	S    
Ia   	12.00	     	S    
Ia   	15.99	     	E/S0 
CC   	17.89	     	S    
CC   	12.14	B    	S    
CC   	13.57	     	S    
CC   	11.25	B    	S    
Ia   	14.71	B    	S    
Ia   	15.21	B    	S    
Ia   	11.89	     	S    
CC   	12.40	     	S    
Ia   	15.33	     	S0   
CC   	15.13	     	Im   
CC   	14.17	B    	S    
CC   	12.52	     	S    
Ia   	16.50	     	S    
Ia   	17.87	     	S    
Ia   	14.75	     	S0   
Ia   	18.58	     	S    
Ia   	12.43	     	S    
Ia   	15.49	     	S    
Ia   	12.46	     	S    
Ia   	12.53	     	S0   
Ia   	14.07	     	S    
CC   	12.96	     	S    
Ia   	13.71	     	S    
Ia   	15.44	     	S    
Ia   	17.78	     	S    
CC   	13.12	B    	S    
Ia   	16.27	     	E    
CC   	14.49	     	S    
CC   	12.51	     	S    
CC   	13.09	     	S    
CC   	16.94	     	S    
Ia   	15.93	B    	S    
CC   	14.07	B    	S    
CC   	17.22	     	S    
Ia   	17.37	     	S0   
CC   	17.98	     	S    
Ia   	18.52	     	S    
Ia   	14.37	     	S    
CC   	13.62	B    	S    
Ia   	13.83	B    	S    
Ia   	16.92	     	S    
CC   	12.91	B    	S    
Ia   	15.16	B    	S    
CC   	13.50	     	S    
Ia   	14.78	     	S    
Ia   	13.71	     	S    
CC   	11.54	     	S    
Ia   	14.02	B    	S    
Ia   	 9.96	     	S    
Ia   	14.73	     	S    
CC   	15.55	B    	S    
Ia   	14.19	     	S    
Ia   	12.39	     	E    
CC   	15.05	B    	S    
Ia   	13.74	     	E    
CC   	13.49	     	S    
CC   	13.28	     	S    
Ia   	14.10	     	S    
Ia   	14.41	     	S    
Ia   	14.98	B    	S    
Ia   	13.76	B    	S    
CC   	15.78	     	S    
CC   	14.71	     	S    
Ia   	16.58	     	E/S0 
CC   	13.31	B    	S    
CC   	11.14	     	S    
CC   	13.69	     	S    
Ia   	13.98	     	S    
CC   	12.30	B    	S    
Ia   	13.53	     	E    
CC   	14.62	     	S    
Ia   	13.92	     	S    
CC   	12.33	     	S    
CC   	13.96	     	S    
CC   	12.50	B    	S    
Ia   	16.14	     	S    
CC   	15.57	B    	S    
CC   	16.90	     	S    
Ia   	15.54	B    	S    
Ia   	15.27	     	S    
CC   	14.86	B    	S    
CC   	14.87	     	S    
Ia   	17.26	     	S0   
CC   	12.51	     	S    
CC   	13.26	     	S    
Ia   	13.93	B    	S    
CC   	14.22	B    	S    
Ia   	16.43	     	S    
CC   	15.63	B    	S    
