SNtype	Galtype	mag_g	bar
II        	 Sbc pec  	12.63     	          
II        	 Sc       	14.15     	B         
II        	 Sc       	11.91     	B         
II        	 Sc       	12.11     	          
II        	 Sb       	12.68     	          
Ia        	 Sd       	11.81     	          
II        	 Sc       	11.82     	          
Ia        	 Sbc      	10.39     	B         
Ia        	 Sc pec   	15.75     	          
Ia        	 Sb       	15.42     	          
Ia        	 E        	14.55     	          
Ia        	 Sb       	13.54     	B         
Ia        	 Scd      	11.90     	B         
Ia        	 Sc       	13.02     	          
II        	 Sbc      	12.68     	B         
Ia        	 Sc       	10.92     	          
Ia        	 Sd       	12.90     	B         
II        	 Sm       	12.37     	B         
Ic        	 Sc       	10.76     	          
II        	 Sc       	12.44     	B         
Ia        	 Sc       	10.58     	          
Ia        	 Sab      	14.23     	          
Ia        	 Sc       	12.12     	          
II        	 Sc       	10.06     	          
Ia        	 Sb       	12.32     	          
Ia        	 Sc       	12.81     	B         
II        	 Sdm      	12.99     	B         
Ia        	 E        	11.68     	          
Ia        	 Sb       	14.01     	          
Ia        	 Sc       	10.98     	B         
Ia        	 Scd      	13.65     	B         
Ia        	 S0       	12.93     	B         
Ia        	 Sb       	 9.90     	          
Ia        	 Scd      	13.34     	          
II        	 Sc       	13.57     	B         
II        	 Sbc      	14.88     	B         
Ia        	 Sb       	13.99     	B         
Ia        	 S0       	15.54     	          
Ia        	 S0       	14.45     	          
Ia        	 Sc       	12.89     	B         
Ib        	 Sb       	12.84     	          
II        	 Sd       	14.27     	          
Ia        	 Sc       	15.34     	          
II        	 Sc       	12.00     	          
Ia        	 Sc       	13.02     	          
Ia        	 Sbc      	10.84     	          
Ia        	 Sc       	11.82     	B         
Ia        	 Sc       	12.85     	          
II        	 Sbc      	14.45     	          
Ia        	 E pec    	11.66     	          
Ia        	 Sab      	11.72     	          
Ia        	 Scd      	13.98     	B         
Ia        	 Sb       	14.10     	B         
Ia        	 Sa       	11.68     	          
II        	 Sm       	13.80     	          
Ia        	 Sab      	12.20     	B         
Ib/c      	 Sdm      	10.97     	B         
II        	 Sd       	11.10     	B         
II        	 Sc       	16.17     	          
II        	 Sbc      	14.25     	B         
II        	 Sm       	13.83     	          
II        	 Sc       	14.15     	          
Ia        	 S0       	13.66     	          
Ia        	 Sc       	12.47     	          
Ia        	 Sd       	14.69     	B         
Ia        	 Sc       	11.39     	          
Ia        	 Sbc      	13.87     	          
Ia        	 Scd      	15.59     	          
Ia        	 Sbc pec  	13.93     	          
Ia        	 Sbc      	13.70     	B         
Ia        	 S0/a pec 	13.83     	          
Ia        	 Sd       	16.04     	B         
Ia        	 Sb       	15.89     	          
Ia        	 Sbc      	14.73     	          
Ib        	 Sc       	12.50     	          
Ia        	 Sc       	15.60     	          
II        	 Sbc      	16.77     	          
Ia        	 Sc       	14.77     	          
II        	 Sab      	15.32     	B         
Ia        	 S        	15.19     	          
Ia        	 Sb       	16.35     	          
Ia        	 Sc       	12.83     	B         
Ib        	 Sd       	15.76     	B         
II        	 Sdm      	14.22     	B         
II        	 Sbc      	12.36     	B         
Ia        	 Sb       	10.42     	B         
Ia        	 S pec    	17.49     	          
II        	 Sbc      	13.52     	B         
Ia        	 S0/a     	17.53     	          
Ic        	 Sc       	13.93     	          
II        	 Sb       	17.02     	B         
II        	 Sc       	14.71     	B         
Ic        	 Sc       	11.22     	          
Ia        	 Sd       	15.79     	B         
Ia        	 Sab      	14.76     	          
II        	 Sc       	11.64     	          
Ia        	 Sab      	16.29     	B         
Ia        	 S0/a     	14.23     	B         
Ia        	 Sbc      	11.72     	B         
II        	 Sbc      	15.13     	          
II        	 Sbc      	15.05     	          
II        	 Scd      	15.44     	          
Ic        	 Sd       	14.07     	B         
Ia        	 Sd       	14.68     	B         
Ia        	 Sc       	16.36     	          
Ia        	 Sbc      	15.47     	          
Ia        	 S0/a     	15.13     	          
Ia        	 Sd       	15.21     	B         
Ia        	 Sb       	13.01     	B         
Ia        	 Sb       	15.70     	          
Ib        	 Sc       	13.99     	          
Ia        	 S        	16.21     	          
Ia        	 Sbc      	15.10     	B         
Ia        	 Sb       	15.97     	          
II        	 Sb       	15.17     	          
Ia        	 Sa       	14.42     	          
Ia        	 E        	12.91     	          
II        	 Sc       	16.69     	          
II        	 Sbc      	12.32     	B         
Ib/c      	 Sdm      	14.91     	          
Ia        	 Sc       	13.49     	B         
Ib/c      	 Sbc pec  	10.87     	          
Ib/c      	 Sc       	16.27     	          
Ia        	 Sbc      	15.09     	          
II        	 Scd      	12.61     	          
Ia        	 Sbc      	14.53     	B         
Ia        	 Sab      	17.80     	          
Ia        	 Sb       	17.02     	          
Ia        	 Sab      	15.53     	          
II        	 Sbc      	16.44     	          
II        	 Sc       	11.80     	B         
Ia        	 Sc       	11.64     	          
II        	 Sab      	11.88     	B         
II        	 Sbc      	12.80     	          
Ia        	 Sb       	15.32     	B         
Ia        	 Sb       	16.64     	B         
Ia        	 S        	16.89     	          
Ia        	 Sab      	13.56     	B         
Ia        	 E/S0     	15.21     	          
II        	 Sc       	14.20     	          
Ia        	 E        	14.58     	          
Ia        	 S0/a     	17.05     	          
Ia        	 E        	12.93     	          
II        	 S        	16.62     	          
Ia        	 Sa       	15.25     	          
II        	 Sd       	15.94     	B         
II        	 Sb       	14.11     	B         
II        	 Scd      	15.69     	          
Ia        	 Sb       	16.75     	B         
Ia        	 Sb       	15.52     	B         
Ia        	 S        	17.57     	          
Ia        	 S        	17.09     	          
Ia        	 Sbc      	15.01     	B         
Ia        	 E        	13.78     	          
II        	 Scd      	14.91     	          
Ia        	 Sa       	14.67     	          
II        	 Sd       	12.90     	B         
Ia        	 Sb       	15.92     	          
Ia        	 Sb pec   	13.80     	          
Ia        	 Sa       	15.35     	          
II        	 Sm       	15.54     	          
Ia        	 Sbc      	17.84     	          
II        	 Sd       	13.38     	B         
II        	 S        	17.13     	          
II        	 Sb       	13.46     	          
Ia        	 Sbc      	14.96     	          
Ia        	 Sbc      	12.38     	          
Ia        	 S0/a     	14.95     	          
Ic        	 Sd       	16.34     	          
II        	 Sc       	16.71     	          
Ia        	 S0/a     	12.50     	B         
Ic        	 Sbc      	13.30     	          
II        	 Sc       	13.63     	          
II        	 S        	18.61     	          
Ia        	 Sab      	13.63     	B         
Ia        	 Sbc      	16.07     	          
Ia        	 Sc       	15.32     	          
Ia        	 Sb       	17.16     	          
II        	 Sd       	11.35     	B         
Ia        	 E        	12.09     	          
II        	 Sd       	14.84     	B         
II        	 Sc       	14.70     	          
Ia        	 S0       	11.49     	          
Ia        	 Sc       	16.36     	B         
Ia        	 S0/a     	15.98     	          
II        	 Sc       	10.92     	          
Ic        	 Sd       	11.81     	B         
Ia        	 Sb       	15.25     	          
II        	 Sc       	13.14     	          
Ia        	 S        	20.11     	          
II        	 S        	16.90     	B         
Ia        	 S0       	12.05     	          
Ia        	 Sbc      	15.74     	B         
Ia        	 Sbc      	14.99     	          
Ia        	 Sc       	12.90     	          
Ia        	 E        	13.96     	          
II        	 Sbc      	13.57     	          
Ia        	 Sc       	15.44     	          
II        	 Sc       	14.27     	          
Ib/c      	 Sbc      	15.16     	B         
Ia        	 Sbc      	15.20     	          
Ia        	 Sb       	13.06     	B         
Ia        	 Sb       	13.81     	B         
II        	 Sd       	14.29     	B         
II        	 Sd       	13.75     	          
II        	 Im       	16.65     	          
Ia        	 S        	17.29     	          
II        	 Sc       	13.18     	          
II        	 Sdm      	13.33     	B         
II        	 Sd       	13.38     	B         
Ib        	 Sbc      	11.96     	          
Ia        	 Scd      	18.70     	          
II        	 Sd       	14.12     	B         
Ia        	 Sbc pec  	12.00     	          
Ia        	 E/S0     	15.99     	          
II        	 Sbc      	17.89     	          
Ic        	 Sbc      	12.14     	B         
II        	 Sbc      	13.57     	          
Ib/c      	 Sa       	11.25     	B         
Ia        	 Sb       	14.71     	B         
Ia        	 Sb       	15.21     	B         
Ia        	 Sbc      	11.89     	          
II        	 Sc       	12.40     	          
Ia        	 S0       	15.33     	          
II        	 Im       	15.13     	          
II        	 Sc       	14.17     	B         
Ib        	 Sc       	12.52     	          
Ia        	 Sbc      	16.50     	          
Ia        	 Sbc      	17.87     	          
Ia        	 S0/a     	14.75     	          
Ia        	 S        	18.58     	          
Ia        	 Sc       	12.43     	          
Ia        	 Sb       	15.49     	          
Ia        	 Sbc      	12.46     	          
Ia        	 S0/a     	12.53     	          
Ia        	 Sc       	14.07     	          
II        	 Sdm      	12.96     	          
Ia        	 Sab      	13.71     	          
Ia        	 Scd      	15.44     	          
Ia        	 S        	17.78     	          
Ic        	 Sb       	13.12     	B         
Ia        	 E        	16.27     	          
II        	 Sa       	14.49     	          
II        	 S pec    	12.51     	          
II        	 Sc       	13.09     	          
II        	 Sc       	16.94     	          
Ia        	 Sdm      	15.93     	B         
II        	 Sd       	14.07     	B         
II        	 S        	17.22     	          
Ia        	 S0       	17.37     	          
II        	 S        	17.98     	          
Ia        	 S        	18.52     	          
Ia        	 Scd      	14.37     	          
II        	 Sd       	13.62     	B         
Ia        	 Sb       	13.83     	B         
Ia        	 S        	16.92     	          
Ic        	 Sab      	12.91     	B         
Ia        	 Sd       	15.16     	B         
II        	 Scd pec  	13.50     	          
Ia        	 Scd pec  	14.78     	          
Ia        	 Sbc      	13.71     	          
II        	 Sc       	11.54     	          
Ia        	 Sb       	14.02     	B         
Ia        	 Sbc      	 9.96     	          
Ia        	 Sbc      	14.73     	          
Ic        	 Sb       	15.55     	B         
Ia        	 Sbc      	14.19     	          
Ia        	 E        	12.39     	          
II        	 Sab      	15.05     	B         
Ia        	 E        	13.74     	          
II        	 Scd      	13.49     	          
Ib        	 Sbc      	13.28     	          
Ia        	 Sc       	14.10     	          
Ia        	 Sa       	14.41     	          
Ia        	 Sc       	14.98     	B         
Ia        	 Sab      	13.76     	B         
II        	 Sb       	15.78     	          
II        	 Sb       	14.71     	          
Ia        	 E/S0     	16.58     	          
II        	 Sbc      	13.31     	B         
II        	 Sab      	11.14     	          
II        	 Sa pec   	13.69     	          
Ia        	 S        	13.98     	          
II        	 Sc       	12.30     	B         
Ia        	 E        	13.53     	          
II        	 Sc       	14.62     	          
Ia        	 Sc       	13.92     	          
II        	 Scd      	12.33     	          
II        	 S        	13.96     	          
II        	 Sm       	12.50     	B         
Ia        	 Scd      	16.14     	          
II        	 Sd       	15.57     	B         
Ib/c      	 Sbc      	16.90     	          
Ia        	 Sa       	15.54     	B         
Ia        	 S        	15.27     	          
II        	 Sb       	14.86     	B         
II        	 Sbc      	14.87     	          
Ia        	 S0/a     	17.26     	          
Ic        	 S pec    	12.51     	          
II        	 Scd      	13.26     	          
Ia        	 Sbc      	13.93     	B         
II        	 Sbc      	14.22     	B         
Ia        	 Sc       	16.43     	          
II        	 Sc       	15.63     	B         
Ia        	 S        	17.24     	          
II        	 Scd      	14.81     	          
Ic        	 Sbc      	12.16     	          
Ia        	 Sab      	14.83     	B         
Ia        	 Sbc      	14.85     	          
II        	 Sbc      	13.92     	          
Ib        	 Sab      	13.38     	          
Ia        	 S0/a     	15.58     	          
Ia        	 Sbc      	15.46     	B         
Ia        	 E        	13.51     	          
Ia        	 E        	14.69     	          
Ia        	 Sb       	14.60     	B         
II        	 Sbc      	15.09     	          
Ib        	 S0       	10.54     	          
II        	 Sb       	13.07     	          
Ib        	 Sc       	12.98     	          
Ia        	 Sb pec   	13.68     	          
Ia        	 S0       	13.77     	          
II        	 Sc       	13.74     	          
Ia        	 S        	16.91     	          
Ic        	 Sc       	11.08     	          
Ia        	 S        	13.68     	          
II        	 Sm       	12.52     	          
Ic        	 Sbc      	13.41     	B         
Ia        	 Sd       	15.97     	          
II        	 Sc       	14.10     	          
Ib        	 Sb       	14.12     	          
Ia        	 Sb       	14.76     	          
Ia        	 S        	18.34     	          
Ia        	 Sb       	16.98     	          
II        	 Sbc      	13.80     	B         
II        	 Sc       	14.93     	B         
Ia        	 S0       	15.29     	          
II        	 Sd       	13.74     	B         
Ia        	 Sd       	14.51     	B         
Ia        	 E        	10.90     	          
II        	 Sb       	14.15     	B         
II        	 Sc       	13.89     	B         
II        	 Sb       	14.01     	B         
II        	 Sb       	15.76     	B         
Ic        	 Sb       	13.59     	          
II        	 Sc       	14.67     	          
II        	 S0/a     	15.72     	          
Ia        	 Sbc      	14.82     	          
Ia        	 Sbc      	15.59     	B         
Ia        	 Sbc pec  	12.63     	          
II        	 S        	19.72     	          
Ia        	 S        	17.76     	          
Ia        	 S0/a     	14.46     	          
Ic        	 Scd      	15.05     	          
Ia        	 Sb       	14.58     	B         
II        	 Sc       	13.50     	B         
II        	 Sb       	12.93     	          
II        	 Sb       	14.13     	B         
II        	 Sc       	13.43     	          
II        	 Sb       	14.31     	B         
Ia        	 Sb       	14.51     	B         
Ia        	 Scd      	16.02     	          
Ia        	 Sc       	15.14     	          
Ia        	 Sc       	10.90     	B         
Ic        	 Sbc      	13.68     	B         
II        	 Sc       	16.35     	          
II        	 Sb       	15.54     	          
II        	 Sbc      	15.30     	          
Ia        	 Sab pec  	12.47     	          
Ia        	 Sb       	15.84     	          
Ia        	 Sc       	12.86     	          
Ib/c      	 Sc       	15.06     	          
Ia        	 Sc pec   	13.71     	B         
Ia        	 Sc       	13.89     	          
Ic        	 Sbc      	14.37     	          
Ia        	 S        	17.70     	          
Ia        	 S        	18.88     	          
Ia        	 S        	17.05     	          
Ia        	 Sc       	14.35     	B         
II        	 S        	15.49     	          
II        	 Sc       	15.37     	          
II        	 Sc       	15.02     	B         
Ia        	 Sc       	13.93     	B         
II        	 Sc       	14.23     	          
Ia        	 Sc       	17.69     	          
Ia        	 Sab      	15.34     	          
Ia        	 Sc       	14.17     	          
II        	 Sc       	12.49     	          
Ia        	 E/S0     	14.19     	          
II        	 Sc       	14.25     	B         
Ic        	 Sb       	13.92     	          
II        	 Sc       	15.07     	          
II        	 Sd       	14.33     	B         
II        	 Sbc      	13.62     	          
Ia        	 S        	18.42     	          
Ia        	 Sb       	17.07     	          
Ia        	 S        	18.27     	          
Ia        	 S        	18.21     	          
Ia        	 S        	17.86     	B         
Ia        	 S        	18.30     	          
Ia        	 S        	17.90     	          
Ia        	 E/S0     	16.41     	          
Ia        	 S        	17.60     	B         
Ia        	 S        	18.19     	          
Ia        	 Sb       	13.31     	          
Ia        	 Sbc      	13.60     	B         
II        	 Sc       	13.45     	          
II        	 Sc       	12.52     	          
II        	 Sc       	15.21     	B         
Ia        	 Sb       	13.98     	          
II        	 Sdm      	14.91     	          
II        	 Sbc      	14.66     	          
Ia        	 Sb       	17.26     	          
II        	 Scd      	13.10     	          
II        	 Sa pec   	14.89     	B         
Ia        	 Sb       	14.67     	B         
