RA	DEC	SNtype	mag_g	bar	redshift	Galtype2
128.81620	 28.47478	CC       	12.63    	         	 0.00718 	S        
182.33785	 29.90900	CC       	11.91    	B        	 0.00202 	S        
190.63774	 -0.08103	CC       	12.11    	         	 0.00573 	S        
154.14727	 21.11192	CC       	12.68    	         	 0.00430 	S        
218.35054	  4.44511	Ia       	11.81    	         	 0.00528 	S        
227.43769	 56.99714	CC       	11.82    	         	 0.00254 	S        
179.43103	 53.37219	Ia       	10.39    	B        	 0.00349 	S        
197.84925	  3.41050	Ia       	15.75    	         	 0.01012 	S        
196.64817	 27.87494	Ia       	15.42    	         	 0.02094 	S        
168.77304	 25.89214	Ia       	14.55    	         	 0.04862 	E        
182.58194	 26.42322	Ia       	13.54    	B        	 0.02176 	S        
183.19004	 10.85861	Ia       	11.90    	B        	 0.00125 	S        
177.65958	 55.35042	Ia       	13.02    	         	 0.00317 	S        
 21.58067	 34.70133	CC       	12.68    	B        	 0.01731 	S        
 41.50883	 -7.58069	Ia       	10.92    	         	 0.00470 	S        
179.75111	 52.69533	Ia       	12.90    	B        	 0.00361 	S        
337.10025	 30.28981	CC       	12.37    	B        	 0.00329 	S        
178.20446	 44.12919	CC       	10.76    	         	 0.00270 	S        
183.44121	 13.43478	CC       	12.44    	B        	 0.00702 	S        
154.93917	 45.50392	Ia       	10.58    	         	 0.00223 	S        
169.56130	 28.26458	Ia       	14.23    	         	 0.03272 	S        
162.10401	 12.54539	Ia       	12.12    	         	 0.00433 	S        
184.72961	 14.41122	CC       	10.06    	         	 0.00802 	S        
134.33709	  2.91742	Ia       	12.32    	         	 0.01299 	S        
175.32296	 47.69247	Ia       	12.81    	B        	 0.01029 	S        
188.16963	 14.04319	CC       	12.99    	B        	-0.00058 	S        
350.05288	  8.19789	Ia       	11.68    	         	 0.01251 	E        
183.05000	 13.23778	Ia       	14.01    	         	 0.00623 	S        
263.10868	  7.06594	Ia       	10.98    	B        	 0.00555 	S        
162.11677	 26.58294	Ia       	13.65    	B        	 0.02099 	S        
350.42255	  8.87853	Ia       	12.93    	B        	 0.01079 	S0       
140.49079	 50.95714	Ia       	 9.90    	         	 0.00212 	S        
347.23423	 12.04606	Ia       	13.34    	         	 0.01632 	S        
 10.58521	 29.64667	CC       	13.57    	B        	 0.01620 	S        
168.08278	 54.02644	CC       	14.88    	B        	 0.03949 	S        
339.66110	 34.06678	Ia       	13.99    	B        	 0.02491 	S        
 49.90645	 41.63564	Ia       	15.54    	         	 0.02864 	S0       
210.32348	 54.41817	Ia       	14.45    	         	 0.00628 	S0       
119.59323	 25.15336	Ia       	12.89    	B        	 0.01610 	S        
186.55009	 13.11306	CC       	12.84    	         	 0.00079 	S        
169.94054	 59.27383	CC       	14.27    	         	 0.00974 	S        
338.75157	 37.20150	Ia       	15.34    	         	 0.01620 	S        
174.84863	 56.26692	CC       	12.00    	         	 0.00798 	S        
177.68083	 55.35917	Ia       	13.02    	         	 0.00317 	S        
188.62325	  2.19982	Ia       	10.84    	         	 0.00601 	S        
108.64004	 84.38667	Ia       	11.82    	B        	 0.00741 	S        
183.35131	 28.49789	Ia       	12.85    	         	 0.01297 	S        
218.78088	  5.35894	CC       	14.45    	         	 0.02882 	S        
211.78746	 55.01872	Ia       	11.66    	         	 0.00635 	E        
221.23490	  1.95356	Ia       	11.72    	         	 0.00574 	S        
 27.55458	 27.19861	Ia       	13.98    	B        	 0.01168 	S        
170.13575	 57.78194	Ia       	14.10    	B        	 0.00646 	S        
186.73213	 15.05492	Ia       	11.68    	         	-0.00091 	S        
122.79618	 46.46014	CC       	13.80    	         	 0.00754 	S        
180.68350	  1.97924	Ia       	12.20    	B        	 0.00654 	S        
190.38754	 41.15165	CC       	10.97    	B        	 0.00178 	S        
161.63196	 63.23033	CC       	11.10    	B        	 0.00338 	S        
 12.54442	 31.72903	CC       	16.17    	         	 0.01526 	S        
 37.91179	 22.91944	CC       	14.25    	B        	 0.01860 	S        
175.93673	 19.98511	CC       	13.83    	         	 0.02249 	S        
 13.77225	 -7.33402	CC       	14.15    	         	 0.00586 	S        
347.59741	  7.58989	Ia       	13.66    	         	 0.03915 	S0       
 72.15125	 -6.32278	Ia       	12.47    	         	 0.01517 	S        
184.92113	  2.07405	Ia       	14.69    	B        	 0.00738 	S        
190.41246	 26.07289	IIn      	13.61    	         	 0.01577 	S        
349.76404	 -8.47712	Ia       	11.39    	         	 0.00739 	S        
117.85054	 14.02044	Ia       	13.87    	         	 0.01560 	S        
118.79116	 14.37006	Ia       	15.59    	         	 0.04484 	S        
154.77138	 46.45686	Ia       	13.93    	         	 0.03072 	S        
114.41247	 41.94983	Ia       	13.70    	B        	 0.01968 	S        
217.23486	 13.85519	Ia       	13.83    	         	 0.01756 	S0       
202.67871	 31.91648	Ia       	16.04    	B        	 0.02344 	S        
155.29663	 35.65837	IIn      	16.66    	         	 0.03771 	S        
176.02061	 60.21050	Ia       	15.89    	         	 0.05925 	S        
196.30994	 32.00942	Ia       	14.73    	         	 0.05188 	S        
211.59119	 50.72894	CC       	12.50    	         	 0.00638 	S        
227.54627	  7.63089	Ia       	15.60    	         	 0.04505 	S        
248.33579	 34.80574	CC       	16.77    	         	 0.03511 	S        
207.05887	 54.79814	Ia       	14.77    	         	 0.02549 	S        
357.74517	  8.67468	CC       	15.32    	B        	 0.04198 	S        
354.82960	 27.24775	Ia       	15.19    	         	 0.03234 	S        
 41.22863	 -8.40791	Ia       	16.35    	         	 0.02946 	S        
162.95875	 16.00013	IIn      	15.58    	B        	 0.02251 	S        
171.99592	 29.50595	Ia       	12.83    	B        	 0.00835 	S        
204.41058	 28.80268	CC       	15.76    	B        	 0.02672 	S        
194.59688	  2.79869	CC       	14.22    	B        	 0.00923 	S        
209.25383	 29.16674	CC       	12.36    	B        	 0.00792 	S        
189.41967	 11.82388	Ia       	10.42    	B        	 0.00506 	S        
 26.39392	 22.08807	Ia       	17.49    	         	 0.05900 	S        
148.21908	 42.86206	CC       	13.52    	B        	 0.01603 	S        
 22.99196	 12.19833	Ia       	17.53    	         	 0.06100 	S0       
 13.24690	 29.03025	CC       	13.93    	         	 0.01661 	S        
  6.54325	 13.65574	CC       	14.71    	B        	 0.01759 	S        
189.14096	 11.24162	CC       	11.22    	         	 0.00745 	S        
204.76133	 32.15576	Ia       	15.79    	B        	 0.02547 	S        
170.25496	 34.34767	Ia       	14.76    	         	 0.03575 	S        
159.06283	 37.32422	CC       	11.64    	         	 0.00523 	S        
184.08542	 12.53006	Ia       	16.29    	B        	 0.06438 	S        
234.12120	 22.49992	Ia       	14.23    	B        	 0.01436 	S0       
190.73625	 13.25658	Ia       	11.72    	B        	 0.00328 	S        
348.91311	  7.30714	CC       	15.13    	         	 0.03420 	S        
350.68350	 23.20558	CC       	15.05    	         	 0.02846 	S        
339.87646	  8.60447	CC       	15.44    	         	 0.02476 	S        
178.46998	 33.36336	CC       	14.07    	B        	 0.01070 	S        
