SNtype	Galtype	logSSFRF
Ia      	S       	-11.7466
Ia      	S       	-12.2303
CC      	S       	-10.3437
Ia      	S       	-17.7260
Ia      	S       	-11.2323
Ia      	S       	-14.4663
CC      	S       	-10.2679
Ia      	S       	-10.6987
Ia      	S       	-10.3564
CC      	S       	-10.1881
Ia      	S       	-10.1231
Ia      	S       	-13.9402
Ia      	S       	-10.3277
Ia      	S0      	-15.3049
Ia      	S       	-10.2031
Ia      	S       	-11.3570
Ia      	S       	-10.2049
Ia      	S       	-16.1902
Ia      	S       	-13.7225
Ia      	S       	-10.2190
CC      	S       	-10.5509
CC      	S       	-10.2993
Ia      	S       	-15.2562
CC      	S       	-10.9151
Ia      	S       	-14.8253
Ia      	S       	-14.6548
Ia      	S0      	-15.7835
Ia      	S       	-10.2321
Ia      	S       	-15.0379
CC      	S       	-10.6844
Ia      	S       	-10.4250
CC      	S       	-10.2061
Ia      	S       	-12.0297
Ia      	S       	-11.0707
Ia      	S       	-13.9913
CC      	S       	-10.4133
Ia      	S       	-10.2863
Ia      	S       	-12.1400
Ia      	S       	-13.9153
CC      	S       	-10.3366
Ia      	S       	-10.3883
Ia      	S       	-10.7802
Ia      	S       	-15.7657
Ia      	S       	-10.3845
Ia      	S       	-14.6664
Ia      	S       	-11.0882
Ia      	S       	-10.3261
CC      	S       	-10.1144
Ia      	S       	-14.2765
Ia      	S       	-16.2475
Ia      	S       	-10.3411
Ia      	S       	-10.3296
Ia      	S       	-10.3367
CC      	S       	-10.6625
Ia      	E       	-14.8291
Ia      	S       	-10.3311
Ia      	S       	-10.3629
Ia      	S       	-10.3861
Ia      	E/S0    	-14.8676
CC      	S       	-13.6998
CC      	S       	-10.3513
Ia      	S       	-14.8817
CC      	S       	-10.3699
Ia      	S       	-10.9553
CC      	S       	-10.2740
Ia      	S       	-10.5783
Ia      	S       	-10.2540
CC      	S       	-10.4240
CC      	S       	-10.7597
Ia      	S       	-10.5896
Ia      	S       	-10.3556
Ia      	S       	-15.6564
Ia      	E       	-14.5790
Ia      	S       	-10.4877
Ia      	S       	-10.2191
CC      	S       	-10.2260
Ia      	S       	-10.3095
Ia      	S       	-10.1258
Ia      	S       	-10.2933
Ia      	E/S0    	-14.6960
Ia      	S       	-17.0263
Ia      	S       	-10.5891
Ia      	S       	-10.3896
CC      	S       	-10.3447
Ia      	S       	-10.4267
Ia      	S       	-10.4029
Ia      	S       	-10.4646
CC      	S       	-10.3187
Ia      	S       	-10.2393
CC      	S       	-10.5049
Ia      	S       	-15.6460
