RA	DEC	SNtype	Galtype	mag_g	bar
 10.67917  	 41.26778  	   I       	 Sb        	NA         	NA         
186.82042  	  9.41806  	           	 Sa        	11.97      	B          
122.81292  	 25.21139  	           	 Sc        	12.49      	           
185.69833  	 15.82361  	:  I       	 Sc        	NA         	NA         
191.51161  	 -8.65264  	   I       	 Sab       	13.63      	           
210.51292  	 54.46611  	:  II P    	 Sc        	NA         	           
140.48902  	 50.98214  	           	 Sb        	 9.90      	           
185.73750  	 15.79167  	:          	 Sc        	NA         	NA         
188.54740  	  2.65158  	           	 Sbc       	11.08      	           
187.70292  	 12.41778  	:  I       	 E         	 9.65      	           
128.81620  	 28.47478  	   II      	 Sbc pec   	12.63      	           
154.58227  	 41.37986  	   II      	 Sc        	NA         	NA         
154.59968  	 41.35875  	   I       	 Sc        	NA         	NA         
185.47577  	  4.49294  	   II L    	 Sbc       	NA         	B          
248.08729  	 19.83972  	           	 Sc        	12.10      	B          
184.98363  	  5.35136  	   II P    	 Sc        	12.11      	B          
NA         	NA         	           	 Sc        	15.40      	B          
182.78646  	 50.49614  	   II P    	 Sb        	12.11      	           
196.47167  	 37.60194  	   Ia      	 Sm        	NA         	NA         
154.57227  	 41.38292  	   II P    	 Sc        	NA         	NA         
132.35024  	 19.06969  	           	 E         	12.01      	           
198.98408  	 25.42906  	           	 Sm        	15.49      	           
190.70035  	  2.69331  	   Ia      	 E         	NA         	           
190.50938  	 11.63217  	   I       	 E/S0      	NA         	NA         
 14.39366  	 -4.99947  	           	 Sbc       	14.32      	B          
229.04268  	 56.24267  	   II L    	 Sc        	NA         	NA         
192.63995  	 25.53353  	   II P    	 Sb        	 9.58      	B          
NA         	NA         	   II      	 Sc        	14.15      	B          
188.63664  	 63.53061  	           	 Sc        	12.96      	B          
188.98073  	 27.96719  	   II L    	 Sc        	NA         	NA         
157.32989  	 29.48236  	           	 Sbc       	12.28      	           
182.33785  	 29.90900  	   II      	 Sc        	11.91      	B          
202.49571  	 47.26500  	   I       	 Sa        	NA         	           
NA         	NA         	           	 Sc        	13.79      	           
190.63774  	 -0.08103  	   II      	 Sc        	12.11      	           
154.14727  	 21.11192  	   II      	 Sb        	12.68      	           
192.25913  	 -8.65161  	           	 Sb        	 9.91      	           
195.22625  	 28.01122  	   I       	 E         	14.02      	           
198.44239  	 36.58000  	           	 Sc        	10.44      	           
130.79745  	 18.15453  	           	 Sbc       	16.55      	           
211.19412  	  8.80119  	           	 Sd        	14.45      	           
146.01293  	  9.37475  	           	 Sd        	16.89      	           
226.86695  	 19.59164  	           	 Sb        	13.59      	           
227.09660  	 19.20783  	           	 S0        	14.56      	           
229.38323  	 19.77592  	           	 Sb        	17.42      	           
230.46929  	 17.44778  	           	 Sab       	16.40      	           
235.53953  	 21.96342  	           	 S0/a      	15.85      	B          
158.32464  	 64.75017  	           	 S0        	13.26      	B          
243.78913  	 18.95400  	           	 Sbc       	16.23      	           
NA         	NA         	           	NA         	NA         	NA         
210.90987  	 11.38239  	           	 Sc        	14.96      	B          
154.79755  	  8.07772  	           	 E/S0      	16.54      	           
167.96792  	  3.69839  	           	 S         	18.05      	           
231.21453  	  8.30842  	           	 Sc        	17.41      	           
  0.04116  	 -6.37650  	           	 Sbc       	15.18      	           
  2.64168  	 -6.29628  	           	 E pec     	16.10      	           
210.98042  	 54.36139  	:  II      	 Sc        	NA         	           
NA         	NA         	           	 Sc        	12.10      	B          
 84.46958  	  0.12692  	           	 Sc        	14.89      	B          
141.50566  	 29.47508  	           	 Sb        	16.40      	           
195.05753  	 -3.34592  	           	 Sd        	17.34      	           
NA         	NA         	           	NA         	NA         	NA         
197.44924  	 -3.50061  	           	 S         	18.07      	           
187.09515  	 13.32711  	           	 S         	17.13      	           
218.34608  	  4.44353  	           	 Sd        	11.81      	           
222.15915  	  6.81792  	           	 Sc        	15.29      	           
167.80650  	 28.69667  	           	 Sb        	14.34      	           
245.23147  	 40.10247  	           	 Sab       	14.28      	B          
353.41474  	 30.03458  	           	 Sbc       	14.72      	B          
354.49699  	 31.99797  	           	 Sb        	14.16      	B          
164.79706  	 50.26542  	           	 Sab       	16.01      	           
165.91156  	 49.84150  	           	 S         	19.63      	           
332.03801  	  4.69381  	           	 Sc pec    	14.87      	B          
 11.23192  	 16.93633  	           	 Scd       	16.00      	B          
183.94555  	 36.26647  	   Ib      	 Sm        	NA         	B          
 10.96158  	 32.84247  	           	 Sa        	14.14      	           
128.19321  	  0.22603  	           	 Sb        	14.36      	           
218.35054  	  4.44511  	   Ia      	 Sd        	11.81      	           
227.43769  	 56.99714  	   II      	 Sc        	11.82      	           
  8.04646  	 31.67692  	           	 Scd       	14.82      	           
  5.27497  	 26.51522  	           	 Sbc       	15.78      	           
131.39777  	 61.15089  	           	 Sab       	15.76      	           
165.28002  	 12.33483  	           	 Sab       	15.64      	           
222.39899  	 10.28028  	           	 S         	17.59      	           
221.46423  	 10.15453  	           	 S         	17.07      	           
214.94307  	 13.33244  	           	 Sc        	16.10      	           
207.00519  	  9.33792  	           	 S         	19.19      	           
NA         	NA         	           	NA         	NA         	NA         
  8.95084  	 -8.59203  	           	 Sbc       	15.25      	           
339.30999  	  3.72972  	           	 Sc        	15.73      	           
359.71730  	 -5.62480  	           	 Sdm       	18.02      	           
NA         	NA         	           	NA         	NA         	NA         
217.16179  	  0.55444  	           	 Sc        	15.28      	           
207.81000  	 17.62747  	           	 Sb        	16.83      	           
208.62609  	 15.04411  	           	 Sa        	13.77      	B          
146.30602  	  9.10506  	           	 Sc        	13.66      	           
182.81309  	 50.49558  	           	 Sb        	12.11      	           
  2.47567  	 25.92656  	           	 Sb        	12.23      	B          
185.74791  	 58.44261  	           	 E         	12.72      	           
180.94017  	  1.69978  	           	 S0/a      	14.36      	           
171.54156  	  3.49536  	           	 Sb        	15.27      	           
NA         	NA         	           	NA         	NA         	NA         
212.88961  	  1.15781  	           	 Sa        	15.88      	           
212.93083  	  0.72064  	           	 Sbc       	15.62      	           
215.61318  	 15.08517  	           	 Im        	14.09      	           
