#RA	DEC	SNtype	Galtype2
128.81620	 28.47478	II       	S        
182.33785	 29.90900	II       	S        
190.63774	 -0.08103	II       	S        
154.14727	 21.11192	II       	S        
218.35054	  4.44511	Ia       	S        
227.43769	 56.99714	II       	S        
179.43103	 53.37219	Ia       	S        
197.84925	  3.41050	Ia       	S        
196.64817	 27.87494	Ia       	S        
168.77304	 25.89214	Ia       	E        
182.58194	 26.42322	Ia       	S        
183.19004	 10.85861	Ia       	S        
177.65958	 55.35042	Ia       	S        
 21.58067	 34.70133	II       	S        
 41.50883	 -7.58069	Ia       	S        
179.75111	 52.69533	Ia       	S        
337.10025	 30.28981	II       	S        
178.20446	 44.12919	Ic       	S        
183.44121	 13.43478	II       	S        
154.93917	 45.50392	Ia       	S        
169.56130	 28.26458	Ia       	S        
162.10401	 12.54539	Ia       	S        
184.72961	 14.41122	II       	S        
134.33709	  2.91742	Ia       	S        
175.32296	 47.69247	Ia       	S        
188.16963	 14.04319	II       	S        
350.05288	  8.19789	Ia       	E        
183.05000	 13.23778	Ia       	S        
263.10868	  7.06594	Ia       	S        
162.11677	 26.58294	Ia       	S        
350.42255	  8.87853	Ia       	S0       
140.49079	 50.95714	Ia       	S        
347.23423	 12.04606	Ia       	S        
 10.58521	 29.64667	II       	S        
168.08278	 54.02644	II       	S        
339.66110	 34.06678	Ia       	S        
 49.90645	 41.63564	Ia       	S0       
210.32348	 54.41817	Ia       	S0       
119.59323	 25.15336	Ia       	S        
186.55009	 13.11306	Ib       	S        
169.94054	 59.27383	II       	S        
338.75157	 37.20150	Ia       	S        
174.84863	 56.26692	II       	S        
177.68083	 55.35917	Ia       	S        
188.62325	  2.19982	Ia       	S        
108.64004	 84.38667	Ia       	S        
183.35131	 28.49789	Ia       	S        
218.78088	  5.35894	II       	S        
211.78746	 55.01872	Ia       	E        
221.23490	  1.95356	Ia       	S        
 27.55458	 27.19861	Ia       	S        
170.13575	 57.78194	Ia       	S        
186.73213	 15.05492	Ia       	S        
122.79618	 46.46014	II       	S        
180.68350	  1.97924	Ia       	S        
190.38754	 41.15165	Ib/c     	S        
161.63196	 63.23033	II       	S        
 12.54442	 31.72903	II       	S        
 37.91179	 22.91944	II       	S        
175.93673	 19.98511	II       	S        
 13.77225	 -7.33402	II       	S        
347.59741	  7.58989	Ia       	S0       
 72.15125	 -6.32278	Ia       	S        
184.92113	  2.07405	Ia       	S        
190.41246	 26.07289	IIn      	S        
349.76404	 -8.47712	Ia       	S        
117.85054	 14.02044	Ia       	S        
118.79116	 14.37006	Ia       	S        
154.77138	 46.45686	Ia       	S        
114.41247	 41.94983	Ia       	S        
217.23486	 13.85519	Ia       	S0       
202.67871	 31.91648	Ia       	S        
155.29663	 35.65837	IIn      	S        
176.02061	 60.21050	Ia       	S        
196.30994	 32.00942	Ia       	S        
211.59119	 50.72894	Ib       	S        
227.54627	  7.63089	Ia       	S        
248.33579	 34.80574	II       	S        
207.05887	 54.79814	Ia       	S        
357.74517	  8.67468	II       	S        
354.82960	 27.24775	Ia       	S        
 41.22863	 -8.40791	Ia       	S        
162.95875	 16.00013	IIn      	S        
