SNtype	mag_g	bar	Galtype2
II   	12.63	     	S    
II   	14.15	B    	S    
II   	11.91	B    	S    
II   	12.11	     	S    
II   	12.68	     	S    
Ia   	11.81	     	S    
II   	11.82	     	S    
Ia   	10.39	B    	S    
Ia   	15.75	     	S    
Ia   	15.42	     	S    
Ia   	14.55	     	E    
Ia   	13.54	B    	S    
Ia   	11.90	B    	S    
Ia   	13.02	     	S    
II   	12.68	B    	S    
Ia   	10.92	     	S    
Ia   	12.90	B    	S    
II   	12.37	B    	S    
Ic   	10.76	     	S    
II   	12.44	B    	S    
Ia   	10.58	     	S    
Ia   	14.23	     	S    
Ia   	12.12	     	S    
II   	10.06	     	S    
Ia   	12.32	     	S    
Ia   	12.81	B    	S    
II   	12.99	B    	S    
Ia   	11.68	     	E    
Ia   	14.01	     	S    
Ia   	10.98	B    	S    
Ia   	13.65	B    	S    
Ia   	12.93	B    	S0   
Ia   	 9.90	     	S    
Ia   	13.34	     	S    
II   	13.57	B    	S    
II   	14.88	B    	S    
Ia   	13.99	B    	S    
Ia   	15.54	     	S0   
Ia   	14.45	     	S0   
Ia   	12.89	B    	S    
Ib   	12.84	     	S    
II   	14.27	     	S    
Ia   	15.34	     	S    
II   	12.00	     	S    
Ia   	13.02	     	S    
Ia   	10.84	     	S    
Ia   	11.82	B    	S    
Ia   	12.85	     	S    
II   	14.45	     	S    
Ia   	11.66	     	E    
Ia   	11.72	     	S    
Ia   	13.98	B    	S    
Ia   	14.10	B    	S    
Ia   	11.68	     	S    
II   	13.80	     	S    
Ia   	12.20	B    	S    
Ib/c 	10.97	B    	S    
II   	11.10	B    	S    
II   	16.17	     	S    
II   	14.25	B    	S    
II   	13.83	     	S    
II   	14.15	     	S    
Ia   	13.66	     	S0   
Ia   	12.47	     	S    
Ia   	14.69	B    	S    
IIn  	13.61	     	S    
Ia   	11.39	     	S    
Ia   	13.87	     	S    
Ia   	15.59	     	S    
Ia   	13.93	     	S    
Ia   	13.70	B    	S    
Ia   	13.83	     	S0   
Ia   	16.04	B    	S    
IIn  	16.66	     	S    
Ia   	15.89	     	S    
Ia   	14.73	     	S    
Ib   	12.50	     	S    
Ia   	15.60	     	S    
II   	16.77	     	S    
Ia   	14.77	     	S    
II   	15.32	B    	S    
Ia   	15.19	     	S    
Ia   	16.35	     	S    
IIn  	15.58	B    	S    
Ia   	12.83	B    	S    
Ib   	15.76	B    	S    
II   	14.22	B    	S    
II   	12.36	B    	S    
Ia   	10.42	B    	S    
Ia   	17.49	     	S    
II   	13.52	B    	S    
Ia   	17.53	     	S0   
Ic   	13.93	     	S    
II   	17.02	B    	S    
II   	14.71	B    	S    
Ic   	11.22	     	S    
Ia   	15.79	B    	S    
Ia   	14.76	     	S    
II   	11.64	     	S    
Ia   	16.29	B    	S    
Ia   	14.23	B    	S0   
Ia   	11.72	B    	S    
II   	15.13	     	S    
II   	15.05	     	S    
II   	15.44	     	S    
Ic   	14.07	B    	S    
Ia   	14.68	B    	S    
Ia   	16.36	     	S    
Ia   	15.47	     	S    
Ia   	15.13	     	S0   
Ia   	15.21	B    	S    
Ia   	13.01	B    	S    
Ia   	15.70	     	S    
Ib   	13.99	     	S    
Ia   	16.21	     	S    
Ia   	15.10	B    	S    
Ia   	15.97	     	S    
II   	15.17	     	S    
Ia   	14.42	     	S    
Ia   	12.91	     	E    
II   	16.69	     	S    
II   	12.32	B    	S    
Ib/c 	14.91	     	S    
Ia   	13.49	B    	S    
Ib/c 	10.87	     	S    
Ib/c 	16.27	     	S    
Ia   	15.09	     	S    
IIn  	14.86	B    	S    
II   	12.61	     	S    
Ia   	14.53	B    	S    
Ia   	17.80	     	S    
Ia   	17.02	     	S    
Ia   	15.53	     	S    
II   	16.44	     	S    
II   	11.80	B    	S    
Ia   	11.64	     	S    
II   	11.88	B    	S    
II   	12.80	     	S    
Ia   	15.32	B    	S    
Ia   	16.64	B    	S    
Ia   	16.89	     	S    
Ia   	13.56	B    	S    
Ia   	15.21	     	E/S0 
